initials	category
AB	S
AH	C
AIS	G
AK	C
ALB	C
ALN	C
AS	C
ATN	C
BDV	C
BFB	C
BG	C
BJT	G
BLM	C
BND	C
CC	C
CLD	G
CLWI	C
CP	G
CT	C
DD	G
DGM	C
DRT	C
DW	C
DWD	C
EBL	C
EC	G
ECF	C
ER	C
ES	C
FK	S
FL	C
FM	C
FP	C
GDS	G
GGK	C
GJ	G
GMH	C
GN	C
HJR	C
HS	C
IB	C
IRM	C
JCvS	C
JDR	C
JF	G
JG	C
JGvR	C
JH	C
JK	C
JK	C
JL	C
JL	C
JLW	C
JMB	M,S,O
JS	C
JVD	G
KAJ	C
KS	S
LA	C
LTG	C
LZ	C
MB	G
MCT	C
MD	G
MEM	C
MF	C
MG	C
MH	C
MMM	C
MN	C
MOM	G
MS	G
MV	C
MvB	G
MVdB	G
NBG	C
NE	C
NLW	C
NRG	C
OA	C
OAR	G
OLL	C
PC	C
PDR	G
QM	C
RAR	C
RC	C
RCP	C
RJG	G
RJU	C
RP	G
RRR	C
RR	M,G,O
RV	C
SA	C
SA	G
SB	C
SB	C
SD	G
SE	C
SH	G
SJH	C
SLF	C
SR	C
SS	C
SW	C
SW	G
SWS	G
TA	C
TDP	G
TG	C
TK	C
TL	C
VD	C
VVD	C
WC	C
WDC	M,G,O
WS	C
WWS	C
ZKW	C
JvdZ	G
GDJ	S
KLN	C
